용어,설명
"공중보급 [aerial delivery, Aerial Supply, 空中補給]","공중보급군사용어사전 1. 공중으로 보급물이 지상구조반이나 생존자에게 전달되는 행위 혹은 과정. 2. 항공기로 주·부식, 물자, 장비 등을 보급하는 것. 외국어 표기 空中補給(한자), Aerial Supply(영어) 공중 보급항공우주공학용어사전 지상으로 투하하는 것. 외국어 표기 aerial delivery(영어)"
"공중전 [airfight, dogflight, 空中戰]","공중전군사용어사전 비행기 간 또는 기계화부대 간의 전투. 외국어 표기 空中戰(한자), dogflight(영어) 공중전항공우주공학용어사전 항공기나 미사일 등이 공중에서 하는 전투 외국어 표기 airfight(영어)"
"맹목비행 [blind flying, fly blind, 盲目飛行]","맹목 비행항공우주공학용어사전 기상조건이 나쁠 때 전파를 이용하여 항공기의 진입방향과 강하의 경로를 지시하여 안전하게 착륙시키는 시설이 지시하는 대로 하는 비행. 외국어 표기 blind flying(영어) 맹목비행군사용어사전 목표가 보이지 않는 구름 속 같은 곳을 계기만 보고 비행하는 것. 외국어 표기 盲目飛行(한자), fly blind(영어)"
"구간시간 [block time, 區間時間]",구간시간항공우주공학용어사전 항공기가 출발지 비행장에서 비행하기 위해서 스스로 움직이기 시작해서부터 목적지 비행장의 주기장에 완전히 정지할 때까지의 시간을 말한다. 외국어 표기 block time(영어) 구간시간군사용어사전 항공기가 제동장치가 벗겨지거나 또는 계류구가 떨어진 순간부터 비행 후 정지 또는 계류 상태에 돌아올 때까지의...
"무선기만 [radio deception, 無線欺瞞]","무선기만군사용어사전 적을 기만하기 위하여 무선장치를 이용하는 것. 허위전보의 타전, 기만적인 표제의 사용, 적의 호출부호의 사용 등이 포함됨. 외국어 표기 無線欺瞞(한자), Radio Deception(영어) 무선기만항공우주공학용어사전 특정한 전파를 발송하여 상대 무선전파 감청자에게 잘못된 정보를 전달하는 행위. 외국어 표기 radio deception(영어)"
"무선조종 항공기 [radio controlled aircraft, 無線操縱 航空機]","무선조종항공기항공우주공학용어사전 무선 전파를 통하여 원격 조정하는 항공기. 수신기가 탑재되어 지상 또는 비행 중의 항공기 등으로부터의 송신전파로 조종되게 되어 있다. 무인표적기, 유도탄 등. 외국어 표기 radio controlled aircraft(영어) 무선조종 항공기군사용어사전 조종사가 없는 항공기. 외국어 표기 無線操縱 航空機(한자), radio-contr..."
"무선표정 [radiolocation, 無線標定]","무선 표정IT용어사전 무선 항행 목적 외의 무선 측위. 즉, 항행 중인 선박이나 항공기의 위치 또는 방향의 결정 및 장애물을 탐지하기 위한 목적 외의 무선 측위를 말한다. 외국어 표기 radiolocation(영어), 無線標定(한자) 무선표정군사용어사전 전파의 정속성(正速性) 또는 직선적 전파의 정속도에 의하여 목표물의 상대적인 방향, 위치 또는 운동을..."
"무인기 [pilotless aircraft, Drone, 無人機]","무인기항공우주공학용어사전 비행승무원이 없이 원격조정 장치에 의해서 조종되는 비행기. 외국어 표기 pilotless aircraft(영어) 무인기군사용어사전 원격조정 또는 자동적으로 조정되는 항공기, 차량 또는 함정. 외국어 표기 無人機(한자), Drone(영어)"
쇼랜 [Shoran],"쇼랜센서용어사전 Short-range navigation을 줄인 말로서 단거리 무선 항법장치이다. loran(long-range navigation) 즉, 장거리 항법에 사용하는 자기위치 측정장치에 대가 된다 외국어 표기 Shoran(영어) 참조어 로랜(loran) 쇼랜군사용어사전 정밀한 장거리 전자 항법장치. 그 원리는 둘 이상의 고정된 송신소로부터 나오는 맥동형 신호 시간차를 이용하..."
"수송능력 [transport capacity, 輸送能力, ゆそうのうりょく]","수송능력군사용어사전 1. 일정한 기간 내에 가용 수송기관을 이용하여 요구되는 이동을 완수하는 능력. 2. 차량 등의 수송능력은 일정한 조건 하에서, 그 차량 등으로 운반할 수 있는 인원과 장비 톤수에 의하여 결정됨. 외국어 표기 輸送能力(한자), movement capability(영어), transport capacity(영어) 수송능력농업용어사전: 농촌진흥청 정해진 조건..."
"수직안정판 [vertical stabilizer, vertical fin, 垂直安定板]","수직안정판군사용어사전 1. 기체의 단층면 내에 있거나 또는 거의 평행으로 달려 잇는 익판으로서 방향안정 기능을 갖는 것. 2. 항공기 미익부의 하나로서 동체의 제일 뒷부분에 수직으로 붙어있으면서 방향타를 붙일 수 있는 장치. 외국어 표기 垂直安定板(한자), vertical fin(영어), vertical stabilizer(영어) 수직안정판항공우주공학용어사전 항공기 꼬리..."
"방사선측정기 [radial dosimeter, 放射線測程器, ほうしゃせんそくていき]","방사선측정기농업용어사전: 농촌진흥청 방사선의 강도와 energy를 측정하는 기계의 총칭. 외국어 표기 radiation detector(영어), 放射線測定器(한자), ほうしゃせんそくていき(일본어) 방사선측정기군사용어사전 방사능을 측정하는 데 사용되는 도구로서 선율 측정기와 선량 측정기 두 가지 종류가 있음. 외국어 표기 放射線測程器(한자), radial dosi..."
버섯구름,"버섯구름농업용어사전: 농촌진흥청 원자폭탄이나 수소폭탄의 폭발, 화산폭발, 화약공장의 대폭발 등이 있을 때 발생하는 거대한 버섯모양의 구름을 말함. 구름의 대부분은 연기나 먼지 등의 고형 미립자로 이루어져 있으며, 일부에는 물방울도 포함되어 있어서 소나기가 내리거나 천둥번개가 발생하는 경우도 있음. 원자운(原子雲). 외국어 표기 mus..."
"보호의 [protective clothing, 保護衣, ほごぎ]","보호의군사용어사전 특별히 만들어진 또는 화학적으로 방독처리된 개인피복으로서 액체 화학작용제나 어떤 생물학작용제로부터 보호하여 줌. 외국어 표기 保護衣(한자), Potective Clothing(영어) 보호의농업용어사전: 농촌진흥청 농약살포나 농작업 등을 수행할 때 작업자의 안전을 위하여 착용하는 옷 등. 외국어 표기 protective clothing(영어), 保護..."
레커,"레커기계공학용어사전 (1) 기중기를 장착하고, 하역(荷投), 운반, 기기의 설치 및 철거, 사고 복구 등에 사용하는 자동차. (2) 구난선(救難船), 구난 열차, 구난차(救難車). 외국어 표기 wrecker(영어) 동의어 wrecking truck, 레커차(break down lorry, ~車) 레커토목용어사전 일반적으로는 소형의 트럭 크레인을 말한다. 트럭 캐리어에 소형의 양중 장치(..."
"시각신호 [visual signal, Visual Signalling, 視覺信號]","시각 신호전자용어사전 시각에 호소하여 지시나 정보를 전달하는 신호. 예를 들면 적, 황, 녹색에 의해 정지, 주의, 진행을 나타내는 교통 신호. 외국어 표기 visual signal(영어), 視覺信號(한자) 시각 신호전기용어사전 시각을 통하여 하는 신호를 이른다. 시각 신호에는 표시판, 수기, 색등(色燈), 등렬(燈列), 섬광 등이 쓰인다. 외국어 표기 visual signal(영어..."
"대량살상무기 [Weapons of mass destruction, Mass Casualty Weapons, 大量殺傷武器]","대량살상무기외교통상용어사전 1948년 유엔총회에 의해 ""원자폭발무기, 방사성 물질무기, 치명적 화학무기 및 생물학무기와 그밖에 원자탄 및 상기한 무기들의 효과와 맞먹는 살상력을 가지도록 개발된 무기들""로 정의되었다. 외국어 표기 Weapons of mass destruction(영어) 약어 WMD 분야 외교 > 군축 대량살상무기군사용어사전 1. 핵, 화학, 생물..."
"대륙간 폭격기 [global bomber, 大陸間爆擊機]","대륙간 폭격기군사용어사전 기지에서 세계 어느 곳이라도 비행하고 중간 기지에 착륙함이 없이 기지에 귀환할 수 있도록 설계된 폭격기. 외국어 표기 大陸間爆擊機(한자), Global Bomber(영어) 대륙간 폭격기항공우주공학용어사전 대륙을 횡단하여 다른 대륙을 폭격하는 장거리 폭격기. 외국어 표기 global bomber(영어)"
경화,"경화매일경제 경화는 본래 금화, 은화같은 주화를 뜻했으며 연화(軟貨)는 지폐를 가리켰다. 현재는 한 나라 통화가 실제 금에 의해 뒷받침되거나 금으로 뒷받침되는 외국통화와 교환될 수 있을 때 경화라 한다. 2차대전 후 금의 뒷받침을 받거나 경상적 국제수지가 순조로워 미국 달러나 독일 마르크와 자유로 교환되는 통화를 경화라고 불렀다. 반면..."
"가조인 [initialing, Initial signature, 假調印]","가조인행정학사전 조약 체결을 위한 교섭이 성립되어 조약 내용에 합의했을 경우, 체약 당사국 주권자의 비준에 앞서 합의 내용을 입증하기 위해 임시로 조인하는 일을 말한다. 내용의 수정이 필요한 경우 조약 체결을 거부하는 것과 같으므로 상대 국가와의 새로운 교섭과 동의가 필요하다. 외국어 표기 假調印(한자), initialing(영어) 가조인군사용어사..."
"경계등 [boundary light, 境界燈]","경계등전기용어사전 공항용 조명등의 일종. 이착륙에 적합한 구역의 경계를 지시하기 위한 것으로, 10~40W 전구를 사용하고, 경계선 상에 100m이내의 등간격으로 설치된다. 광도 10cd이상, 백색이다. 외국어 표기 boundary light(영어), 境界燈(한자) 경계등군사용어사전 일정한 지역이나 지대의 한계선을 표시하는 등. 외국어 표기 境界燈(한자), bo..."
"경위의 [theodolite, 經緯儀, けいいぎ]","경위의천문학 작은사전 방위축과 고도축을 가진 관측장치를 경위의라고 한다. 이 방식의 관측장치에서는 지평좌표에 대응하고 있으므로, 인간의 감각으로 장치를 천체방향으로 향하기는 간단하다. 그러나 일주운동을 하는 천체에 대해서는 두 축을 동시에 움직일 필요가 있으므로 문제가 된다. 외국어 표기 theodolite(영어), altazimuth instrument(영..."
"고층기상학 [aerology, 高層氣象學, こうそうきしょうがく]",고층기상학지구과학사전 자유대기 이상의 고도에 대해서 연구하는 기상학의 한 분야로서 초기 고층기상학의 목적은 대기 구조와 구성 물질의 양과 분포를 인식하는 데 있었다. 오늘날의 고층기상학은 여러 대기층 내에서 일어나는 화학 및 물리적 반응을 연구한다. 고층기상학이란 용어는 과거보다 현재에는 사용이 덜 되는 용어이고 고층기상학 내...
"설형대형 [wedge for mation, V formation, 楔形隊形]",설형대형군사용어사전 1. 앞끝이 적을 향하는 V형 전술대형. 2. 좌우측 후방에 제대를 가진 대형. 3. 측후방의 예하부대가 선발대의 보호를 받는 대형. 설형대형군사용어사전 야지나 공중에서 접적 우려가 있을 때 취하는 공격 대형.
"단일군조달 [單一軍調達, single department procurement]",타군을 위하여 한 군에서 어떤 보급품이나 필요 물품을 일괄해서 구입하는 것.
"단일장약 [單一裝藥, single-section charge]","장약대 1개에 들어 있는 포탄의 장약이며, 단일 장약이므로 사거리를 조정할 수 없음."
"대공제압 [對空制壓, Suppression of Enemy Air Defence]","적의 지대공 방공무기 및 지휘통제체제를 기능저하, 무력화 또는 파괴시키는 작전으로써 살상 및 파괴무기를 사용하거나 전자전 임무를 통하여 수행하는 공세 제공작전의 임무형태임."
"대내홍보활동 [隊內弘報活動, troop information activities]",군의 군사상 역할이나 국방에 대한 군의 중요성 등을 더욱 이해시키기 위하여 대내홍보 같은 것을 실시함으로써 군의 유효성의 향상을 도모하는 지휘관 활동.
"대대장 [大隊長, battalion commander]",대대의 성패에 대하여 전적으로 궁극적인 책임을 지는 전술지휘관.
"대량 무장장착 [大量武裝裝着, Mass Loading]",작전계획에 명시된 규정시간 내에 요구되는 작전항공기의 완전무결한 전투무장을 갖추는 것.
"대량파괴무기 [大量破壞武器, weapon of mass destruction]","광범위한 살상과 파괴 능력이 있는 원자무기, 세균무기, 또는 기타 위력이 강한 무기."
"대위성 미사일 [對衛星-, antisatellite missile]",궤도 상의 위성을 격파하도록 설계된 미사일.
"대잠공격 [對潛攻擊, hunter-killer]",잠수함을 탐지하고 공격하는 전투.
"대잠탐색공격 [對潛探索攻擊, hunter killer]","잠수함을 수색, 탐지, 공격하는 레이더기와 폭탄탑재기의 한 팀. 또는 이에 의한 공격행위."
"대전자공격 [對電子攻擊, Anti-EA]","우군의 통신망과 무기체계에 대한 적의 전자방해, 기만 등 적대행위의 효과를 감소 또는 무력화시키기 위해 사용되는 모든 대책이며, 기능적으로 전자보호(EP)의 범주에 속함."
"대전차결사대 [對戰車決死隊, anti-tank suicide squad]",폭탄 또는 폭발물을 휴대하고 전차에 접근하여 폭발시키거나 전차의 포탑에 기어 올라가서 전차승무원을 사살하여 전차를 파괴 또는 포획하는 돌격조.
"대지공격 [對地攻擊, Air Strike]","공격임무를 부여받은 전투기, 폭격기 또는 공격기에 의하여 특정 지상목표를 공격하는 것."
"대치지정 [代替指定, supplementary allocation]",예비군 소요자원의 부족 시에 유사 특기자로써 수요를 충족시키는 것.
"도섭 [渡涉, Ford]",수심이 얕은 하천을 교량이나 단정 또는 뗏목 등을 이용하지 않고 걸어서 건너가는 것.
"도표축척 [圖表縮尺, Graphic Scale]",지도나 해도상에서 실지거리를 측정하기 위하여 사용되는 눈금이 매겨진 선.
"도화계통 [導火系統, explosive train]",폭발성분으로 구성된 신관 또는 신관체의 부분.
"독립포 [獨立砲, separate gun]","공격목표 상의 영구진지 또는 거점을 파괴할 목적으로 공격개시 24시간 전에 야음을 이용하여 적 전선으로부터 500~1,000m 거리 내에 추진 배치하는 포."
"돌격전 작전 [突擊前作戰, Pre-Assault Operations]","상륙기동부대 예하인 선견부대가 상륙목표지역 내에서 주상륙이 실시되기 전에 목표지역의 준비 및 고립과 적에 대한 첩보를 획득하기 위하여 실시하는 작전이며 주로 정찰, 소해, 함포사격, 수중장애물 제거 및 해안장애물의 파괴작전 등이 포함됨."
"돌격진지 [突擊陣地, assault trench]",최종적으로 돌격제대가 전개완료하고 적과 근접하기 위하여 진입하는 진지로써 공격개시선과 목표 간에 위치함.
"동원군수물자 [動員軍需物資, mobilization material]",동원조달 기획목적을 위하여 설정된 기간 중 동원된 전 병력을 지원하는데 소요되는 개개 품목 및 물자.
"동원단계 [動員段階, Mobilization Phases]","전략 및 작전개념에 부응한 전쟁수행단계에 따라 1년을 12단계로 나눈 것으로서 병력은 긴급단계(1~3단계)와 정상단계(4~12단계), 물자는 초기단계(1~4단계)와 정상단계(5~12단계)로 구분하여 동원을 시행함."
러닝 래빗 [running rabbit],가까이서 작동하는 다른 레이더로부터 방사에 의하여 레이더스코프 상에 나타난 모양.
"레이더망 [-網, radar netting]",여러 레이더를 한 센터로 연결하여 목표에 관한 통합정보 자료를 제공할 수 있도록 한 것.
"레이더 유도 [-誘導, Radar Guidance]",레이더를 사용하여 목표의 방위와 거리 등을 측정하여 미사일 등의 비행체를 목표에 유도하는 방식의 총칭.
"레이저 유도폭탄 [-誘導爆彈, Laser Guided Bomb]",항공기에서 표적에 레이저 광선을 조사하면서 폭탄을 투하하면 탄두에 레이저 유도장치를 장착한 폭탄은 이 광선을 따라 표적에 명중하도록 설계된 유도탄.
"로켓 발사선 [-發射線, rocket launcher line]",발사시의 로켓의 축선 방향.
"로켓 탄두부 [-彈頭部, rocket head]",로켓 모터에 의하여 추진되며 폭약이나 화학제를 충전하거나 또는 충전하지 않은 것을 탄으로 함. 때로는 계기류를 운반하는 데도 사용됨.
"로켓포 [-砲, rocket artillery]",탄환이 로켓의 동력에 의하여 추진되나 이승(離昇)의 추력량 및 방향에 따라 발사 중에만 유도를 부여하는 포.
"맹목사격 [盲目射擊, firing for the purpose of blinding the enemy]",조준 없이 닥치는 대로 사격하여 적으로 하여 금 눈을 못 뜨고 고개도 들지 못할 정도로 만드는 것.
"경계체제 [警戒體制, outpost system]","전초가 임무를 수행하도록 진지, 화력 및 감시 체제를 확립하는 것."
"경기관총 [輕機關銃, light automatic gun]",구경 30(0.3인치) 혹은 그 이하인 기관총.
"경사격실 [傾斜隔室, oblique compartment]",지형의 장축이 행진 방향 또는 공격 방향에 대하여 대각선을 이룬 지형 격실.
"경사메르카토르 [傾斜-, oblique mercator]",기선이 적도와 사각을 이루고 있는 메르카토르식 투사 도법.
"경사면 [傾斜面, slant plane]",표적의 진로와 포의 구축 중심이 포함된 면.
"계기비행기상조건 [計器飛行氣象條件, Instrument Meteorological Condition]","시정, 구름간의 거리, 운고가 시계비행을 할 수 없는 기상상태로 계기비행 규칙을 적용하여 비행하여야 하는 기상조건."
"기조명등 [計器照明燈, instrument light]",모든 계기의 문자판을 야간에 볼 수 있도록 비치는 등화.
"계획인수 [計劃因數, planning factor]","계획된 작전에 관련된 노력의 양과 유형을 판단하기위한, 계획에 사용되는 적절히 선정된 인수."
"고각장치 [高角裝置, elevating mechanism]",포구의 높이를 올렸다 내렸다 하는 포에 붙어 있는 장치.
"고각추적 망원경 [高角追跡 望遠鏡, elevation tracking telescope]",이동 표적을 고도 상으로 추적할 때 사용하는 광학 기구.
"고공관측기구 [高空觀測氣球, rawin balloon]","바람의 운동과 속도를 결정함에 있어서 사용되는 라디오 존데기구, 또는 기타 특수 장비 기구."
"고등각개훈련 [高等各個訓練, advanced individual training]","훈련소, 육군 각 병과학교, 또는 지시된 경우에는 전략육군 보대에 의하여 실시되는 훈련으로써, 이 훈련을 마친 각개병사는 특기(特技)구분에 의한 자격이 부여됨."
"고립동결층 [孤立凍結層, perelotok]",동기 동결층의 녹은 부분과 부동토층 사이의 고립된 동결층.
"고사포화지역 [高射砲火地域, flak area]",고사포로 방어하는 지역.
"고성능폭발 [高性能爆發, high-order detonation]",완전하고 순간적인 폭발.
"고지투영법 [高地投影法, hill shading]",북쪽 방향에서부터 비치는 것으로 가상한 상상적인 사광(斜光)으로 생긴 음영을 지도상에 나타내는 기본선 방법.
골디 룩 [goldie lock],지상관제관이 항공기의 전자관제를 행하고 있음을 가리킴.
"공격유효각 [攻擊有效角, effective angle of attack]",익현(翼弦) 및 동요 기류의 합성가속도 표시선 사이에 놓여 있는 공격각에 부여된 부분.
"공군간호사 [空軍看護士, flight nurse]",공수중인 부상병을 돌보는 간호요원.
"공기탄도학 [空氣彈道學, aeroballistics]","공기역학(空氣力學)과 탄도학에서 추출된 용어로, 유도 로켓처럼 비행경로가 상이한 각 부분에 이 두 가지 과학을 응용하여 비행경로가 결정되는 물체의 운동을 주로 취급함."
"공대지 유도탄 [空對地誘導彈, Air To Surface Missile]",비행중인 항공기에서 지상표적에 대하여 사격하는 유도탄.
"공동선언 [共同宣言, joint declaration]",어떤 내용에 대하여 두 사람 또는 2개국 이상이 공동으로 같은 견해를 선언하는 것.
"공동생산 [共同生産, Coproduction]","기술도입생산의 한 형태로써 외국과의 기술도입 생산계약에 의거 양국이 해당 품목을 일정 비율로 나누어 생산후 이를 결합, 완제품을 생산하는 것을 말함."
"공두보부대 [空頭堡部隊, airhead element]",공수작전 시 공두보에 낙하한 부대.
"공병병과 [工兵兵科, corps of engineer]","축성, 건설, 파괴 및 핵무기의 설치를 포함한 전투임무를 수행하는 전투병과."
"공습경보상태 [空輸警報狀態, air-raid warning]","적색, 백색, 황색 등 세 가지로 구분되는 경보 상태."
"공역통제요청서 [空域統制要請書, Airspace Control Request]","공역통제방책의 요청시 사용되는 문서로써 세부 공역소요를 공역통제권자에게 제출하며, 승인시는 공역통제 명령으로 전파됨."
"공중격투전 [空中格鬪戰, rat racing]","단발기, 주로 전투기의 격투전."
"공중대기지점 [空中待機地點, holding fix]","시각비행 시는 공중에서 육안으로 식별할 수 있거나 지상에 있는 저명한 지형지물을 참조하여 육안 식별할 수 있는 지점이 공중대기 항공기의 기준이 되는 지점이 되고, 계기비행 시는 송신소나 두 개 송신소 전파의 교차점이 공중대기 지점이 됨."
"공중선 릴 [空中線-, aerial reel]",항공기로 야전선을 가설하는 릴.
"병기장교 [兵器將校, ordnance officer]","병기 병과의 장교로 지휘관을 보좌하는 참모, 또는 적 장비를 식별하는 기술 장교."
"병상기록 [病床記錄, clinical record]",환자의 의무(진료)이력을 기록하기 위해서 병원에서 사용하는 양식.
"병원부대 [病院部隊, hospitalization unit]",독립적으로 기능을 수행할 수 있는 완전하고 독립 자족할 수 있는 병원부대.
"병종사태 [丙種事態, Class Byong Situation]","적의 침투도발 위협이 예상되거나 소규모 적이 침투한 때에 지방경찰청장, 지역사령관 또는 함대사령관의 지휘·통제 하에 통합방위작전을 수행하여 단기간에 치안이 회복될 수 있는 사태를 말함."
"보급후송반 [補給後送班, supply and evacuation section]",한 사령부에 속하는 인원과 장비의 보급 및 후송과 수송에 대하여 계획된 방책의 수행을 준비하는 참모부서.
"보복 [報復, reprisal]",적군을 전쟁 법규에 강제적으로 따르게 하는 마지막 수단으로서 사용하는 전쟁행위. 적군이 행한 불법 행위에 대하여 보복으로도 사용함.
"보조무기 [補助武器, ancillary armament]","전투용 전차에 장착되어 있는 기관총, 유탄발사기 등."
"보조사격구역 [補助射擊區域, secondary fire sector]",사격 구역 내에 포함되어 있지 않지만 필요하다면 사격할 수 있는 지역.
"보조화기 [補助火器, Secondary Weapon]","한 부대의 차량, 진지 또는 항공기의 지원화기이나 일반적으로 주화기보다 구경이 작으며, 이의 용도는 주화기를 보호하거나 또는 주화기의 화력을 보충하는 것임."
"보충불출 [補充拂出, Replacement Issue]","인가문서에 규정된 수량을 유지하기 위하여 기 보급된 장비를 대치하는 사용부대에 대한 불출량. 이러한 불출은 경제적인 수리를 할 수 없는 마모, 유기, 파손, 적 활동 및 도난으로 인한 손실의 보충임."
"복초 [複哨, double sentry]","2명 1개조로 된 경계병, 또는 보초."
"복추력 [複推力, dual thrust]",미사일과 동일 추진부를 사용하는 2개 추진제에서 추력을 얻는 로켓.
"복합진지 [複合陣地, dual site]",미사일 진지로서 완전한 두 개 사격단위의 장비를 설치하는 데 충분한 넓이와 적당한 지형을 갖고 있는 것.
"복합항 [複合港, port complex]","중요도가 다르고, 또 그 활동이 지리적으로 연결되어 있는 2개 이상 항만 지역을 포함하고 있는 것을 말함. 지리적으로 연결되어 있다 함은, 이들 지역이 공동 내륙 교통 조직을 사용하고 있거나 또는 여러 선단을 위한 교통의 최초 목적지로 되어 있음을 뜻함."
"봉두장약 [棒頭裝藥, pole charge]","방형 폭파약 몇 개를 결합하여, 폭파용 뇌관과 신관을 부착하고 막대기 끝에 매달아 언제든지 발화되도록 해 놓은 것."
"봉지뢰 [棒地雷, bar mine]",장방형 단면을 갖고 있는 막대 모양 플라스틱 대전차지뢰.
"부대여적 [部隊餘積, troop space cargo]","야전용 포낭, 침구 일체, 트렁크 및 사무용품과 같은 화물로서 통상 신변에 가까운 장소에 적재됨. 이 화물에는 손으로 운반하는 전투장비와 상륙부대에 의하여 해안에 반송되는 무기도 포함됨."
"부분검사 [部分檢査, partial inspection]",장비의 부분품 품목이나 인원의 일부를 검사하는 것.
"부분군축 [部分軍縮, partial disarmament]",무기의 종류를 한정하여 그 양을 감축하는 것.
"분산지점 [分散地點, point of dispersion]",1. 회전익 항공기가 착륙지역에 도착하여 대형을 변경하고 기지로 돌아가는 공중 통제 지점. 2. 부대 이동 시 도착한 종대가 해산하는 지점으로 이곳으로부터 각자의 지역 도는 목적지로 가게 됨.
"불침투성 보호의 [不浸透性保護衣, Impermeable Protective Clothing]",이는 안팎이 고무로 칠해진 천으로 만들어져 있어 공기가 통하지 않으며 모든 용액 화학작용제를 막아내고 생물학 및 방사능 작용제에도 적절한 보호를 제공하며 위험한 제독업무에 종사하는 인원이나 유독성 작용제를 취급하는 공장 및 보급소에서 착용함.
"불완전폭발 [不完全爆發, low order detonation]","폭탄, 탄약 혹은 기타 유사한 고폭약의 장약이 불완전하게 폭발하는 것."
"비공개작전 [非公開作戰, covert operation]",지원국의 정체가 은폐된 상태에서 수행되는 작전으로 비밀작전과 상이한 것은 작전은폐보다 지원국 은폐를 더욱 강조하는 것임.
"비밀기지 [秘密基地, secret base]",인가된 특수 인원만 알 수 있도록 위장하고 보호된 군사기지.
"비사단부대 [非師團部隊, nondivisional unit]","어떤 사단에 편성되어 있지 아니한 단위 부대, 즉 사단 편제에 없는 부대."
"비사용병상 [非使用病床, inactive beds]",장비나 비품은 완비되어 있으나 군용 요원이 없는 의무치료시설의 비어 있는 병상.
"비상기동부대 [非常機動部隊, emergency mobile force]","부대시설 또는 근방의 긴급방호를 위하여 위수지, 야지 또는 주둔지의 특과 근무부대로부터 편성된 무장 기동화된 부대."
"비상탈출 [非常脫出, Bail-Out, Ejection]",비행중인 항공기로부터 승무원이 낙하산으로 이탈하는 것.
"비예정부대 [非豫定部隊, Non-Scheduled Unit]","예정파나 대기파에 포함되지 않은 최초 양륙 단계에서 상륙할 수 있도록 준비태세로 대기하는 상륙부대, 상륙군의 특정 전투지원부대, 대부분의 전투근무지원부대와 상급제대(사단급 이상), 예비대 등이 포함됨."
"비전투실종 [非戰鬪失踪, nonbattle missing]",전투 이외의 이유 때문에 생사나 소재를 알 수 없는 자.
"기지관제권 [基地管制圈, Base Control Zone]",관제탑을 중심으로 지표로부터 특정고도까지의 통상 5NM 반경의 항공관제를 위해 설정된 공역.
"긴급사태 [緊急事態, emergency status]",대규모 재해나 소란 등 치안이 혼란한 상태 또는 이러한 우려가 있는 상태.
"긴급항공지원 [緊急航空支援, Immediate Air Support]",사전에 계획된 바 없이 전투수행중 긴급요청에 의해서 지원되는 항공지원.
"낙오자수집소 [落伍者收集所, Straggler Collecting Point]",낙오자 초소 또는 낙오자선에서 수집된 낙오자를 원대복귀 또는 기타 필요한 조치를 취하기 위하여 집결시키는 장소로써 헌병에 의하여 운용됨.
"낙하산조명탄 [落下傘照明彈, reconnaissance flare]",1. 낙하산에 매어 단 조명탄. 2. 작전지역을 조명하도록 낙하산에 부착한 조명탄.
낸시 [Nancy],육안으로는 볼 수 없고 특수한 필터를 사용해야만 볼 수 있는 야간의 시각통신법.
"노출표지 [露出標識, strip marker]","지뢰가 매설된 시발점과 종단점에 위치하는 자연적, 인공적 또는 특별히 설치된 표지."
"누적전략 [累積戰略, Cumulative Strategy]",사소한 활동들이 모르는 사이에 누적되어 마침내 누적된 활동들의 총계가 중대한 가치를 발휘하게 되는 전략개념. 이는 개별적이며 자의적인 활동의 결합으로 이루어짐.
"다탄두 유도탄 [多彈頭誘導彈, Multiple Individually Targetable Reentry Vehicle]",1기에 다수의 탄두를 장치하여 탄두 하나하나가 유도장치를 갖고 동시에 여러 개의 목표를 공격할 수 있는 전략무기.
"다핵탄두 미사일 [多核彈頭-, multiple individually targetable reentry vehicle]",미사일 한 기에 다수 탄두를 장치하여 탄두 하나 하나는 각기 유도장치를 갖고 있어서 동시에 여러 목표를 공격할 수 있는 전략무기.
"단차전투 [單車戰鬪, single-tank tactics]",전차 1대가 각종 지형지물을 이용하여 각종 전투임무를 수행하는 것으로 보병의 각개전투에 비유할 수 있음.
"대대군 [大隊群, Battalion Group]",한 특정임무를 수행하기 위해서 배속관계를 유지하는 1개 대대 이상의 포병부대.
"대대종대 [大隊縱隊, column of companies]",한 중대 직후에 딴 중대가 후속되어 종대를 이루는 대형.
"대륙전략 [大陸戰略, Continental Strategy]",일반적으로 육지국의 유력한 국략(國略)으로써 근본적으로 육상에서의 전쟁수단으로써 적에게 제압을 가한다는 개념에 기초를 두고 있는 것.
"대양해군 [大洋海軍, Ocean Going Navy, Blue Water Navy]","대양에서 국가이익 수호와 국가정책을 뒷받침하기 위해 해상, 해중 및 항공 등 입체전력을 구비하고 적정수준의 해양통제, 해상교통로 보호 및 전력투사능력을 갖추어 대양에서 상당기간 독립작전을 수행할 수 있는 해군. 세력규모는 구축함급 이상의 중·대형함을 중심으로 구성되며 상당규모의 독립된 항공작전을 수행할 수 있는 중·소형 항모와 중..."
"대잠 경계구역 [對潛警戒區域, Anti-Submarine Screen Area]",상륙돌격을 지원하는 상륙 수송선 및 화력지원부대를 보호하기 위하여 항공 및 해상부대에 의하여 대잠 경계작전이 실시되는 해역.
"대잠 로켓 [對潛-, Anti-Submarine Rocket]",잠수함을 파괴하기 위하여 해상함정으로부터 발사되는 로켓추진 어뢰. 통칭 ASROC이라고 부름.
"대잠 항공공격작전 [對潛航空攻擊作戰, Anti-Submarine Air Offensive Operation]","함재기나 육상에 기지를 둔 항공기가 단독으로 또는 항공기, 함정 혹은 이 양자와 협동하여 실시하는 공세작전 및 공격행동."
"대잠항모전단 [對潛航母戰團, AS carrier group]",잠수함 탐지와 파괴를 임무로 하는 수척의 대잠함정과 하나 또는 그 이상의 대잠항모로 구성된 전단.
"대전차 로켓 [對戰車-, anti-tank rocket]",전차 혹은 기타 장갑차량에 대하여 사용되는 로켓 유탄.
